exercise,exercise_type,MuscleGroup
Deadlift - Stiff Leg,Barbell,Back
Deadlift - Standard,Barbell,Back
Lateral Pull Down,Cable,Back
Lateral Pull Down,Machine,Back
Lateral Pull Down - Close Grip-Palms Up,Cable,Back
Lateral Pull Down - One Arm,Cable,Back
Low Pulley Row - Underhand,Cable,Back
Low Pulley Row - Overhand,Cable,Back
Seated Pulley Row - V-Grip,Cable,Back
Face Pull,Cable,Back
Face Pull - Double Rope,Cable,Back
Chin Ups,Body,Back
Straight Arm Pushdown - Bar,Cable,Back
Straight Arm Pushdown - Rope,Cable,Back
Human Pullover,Body,Back
1-Arm High Cable Row,Cable,Back
Abduction Row,Dumbell,Back
Dead Row,Barbell,Back
ISO Lateral Row - Neutral,Machine,Back
ISO Lateral Row - Wide,Machine,Back
Chest Supported Dumbell Row,Dumbell,Back
Bent-Over Rows,T-Bar,Back
Bent-Over Rows - Overhand,Smith,Back
Bent-Over Rows - 45 Degree,Barbell,Back
Bent-Over Rows,Barbell,Back
Chin Ups - Negatives,Body,Back
Upper Chest Pullover,Dumbell,Chest
Pectoral Flys,Dumbell,Chest
Pectoral Flys,Cable,Chest
Pectoral Flys - Mid-Chest-Standing,Cable,Chest
Bench Press - Incline,Dumbell,Chest
Bench Press - Flat,Dumbell,Chest
Bench Press - Decline,Dumbell,Chest
Bench Press - Incline,Barbell,Chest
Bench Press - Incline,Smith,Chest
Bench Press - Flat,Barbell,Chest
Bench Press - Decline,Barbell,Chest
Bench Press - Lateral,Machine,Chest
Curls - Incline,Dumbell,Biceps
Curls - Narrow Grip,Barbell,Biceps
Curls - Wide Grip,Barbell,Biceps
Curls - Concentration,Dumbell,Biceps
Curls - Standard,Dumbell,Biceps
Curls - Hammer,Dumbell,Biceps
Curls - Hammer - Cross Body,Dumbell,Biceps
Curls - Crush,Dumbell,Biceps
Curls,Cable,Biceps
Hammer Hold,Dumbell,Biceps
Overhead Tricep Extension - One Arm,Dumbell,Triceps
Overhead Tricep Extension - One Arm,Cable,Triceps
Overhead Tricep Extension - Both Arms,Dumbell,Triceps
Overhead Tricep Extension,Cable,Triceps
Dips,Body,Triceps
Bench Press - Narrow Grip,Barbell,Triceps
Bench Press - Narrow Grip,Dumbell,Triceps
Tricep Kick-Backs,Dumbell,Triceps
Tricep Kick-Backs,Cable,Triceps
Cross Body Tricep Extension,Cable,Triceps
Incline DB Power Bomb,Dumbell,Triceps
Lying Overhead Tricep Extension - One DB - Dumbell,Dumbell,Triceps
Lying Overhead Tricep Extension - Two DBs - Dumbell,Dumbell,Triceps
Lying Overhead Tricep Extension,Barbell,Triceps
Rear Extension - V-Bar,Cable,Triceps
Rear Extension - Rope,Cable,Triceps
Tricep Extension Pulldown - Rope,Cable,Triceps
Tricep Extension Pulldown - Bar,Cable,Triceps
Tricep Extension Pulldown - 1-Arm - Underhand,Cable,Triceps
Tricep Extension Pulldown - 1-Arm - Overhand,Cable,Triceps
Dips - Bench,Body,Triceps
Shoulder Press,Barbell,Shoulders
Shoulder Press,Dumbell,Shoulders
Shoulder Press,Smith,Shoulders
Military Press,Barbell,Shoulders
Lateral Shoulder Press,Machine,Shoulders
Lateral Raise - Bent Over,Dumbell,Shoulders
