Date,Exercise,Result,Weight,Status
2023-02-01,Low Pulley Row - Underhand,"Peak 14, clean reps at 13",14.00,Peak
2023-02-01,Lateral Shoulder Press,Peak 30kg,30.00,Peak
2023-02-01,Bent-Over Rows,Peak 35kg Barbell,35.00,Peak
2023-02-01,Arnold Press,10kg DBs,10.00,Static
2023-02-01,Shrugs,20kg DBs,20.00,Static
2023-02-01,Lateral Pull Down,Peak 80kg,80.00,Peak
2023-02-06,Curls - Hammer - Dumbell,*correction - 8-10,10.00,Static
2023-02-06,Bench Press - Flat - Barbell,Sets of 4 at 50kg,50.00,Static
2023-02-06,Low Pulley Row - Overhand - Cable,Max 15,15.00,Static
2023-02-06,Lateral Pull Down - Machine,Max 80kg,80.00,Static
2023-02-06,Bench Press - Decline - Barbell,Max 50kg,50.00,Static
2023-02-06,Hammer Hold - Dumbell,Set 1 - 35s each arm,35.00,Static
2023-02-06,Curls - Crush - Dumbell,Do NOT like these,0.00,Static
2023-02-06,Curls - Crush - Dumbell,15kg dumbell,15.00,Static
2023-02-06,Pectoral Flys - Cable,Max 40,40.00,Static
2023-02-06,Curls - Hammer - Dumbell,"10kg dumbell, sets of 10-12",10.00,Static
2023-02-06,Hammer Hold - Dumbell,12kg dumbell,12.00,Static
2023-02-07,Bent Over Lateral Raise - Dumbell,"5kg dumbells. Not fun, used the ",5.00,Static
2023-02-07,Dips - Body,Using flat bench,0.00,Static
2023-02-07,Tricep Kick-Backs - Dumbell,"6kg Dumbells, try 8kg next time",8.00,Static
2023-02-07,Tricep Extension Pulldown - Cable,Working weight 21kg,21.00,Working
2023-02-07,Leg Press - Standing - Machine,Working weight 20kg,20.00,Working
2023-02-07,Arnold Press - Dumbell,10kg dumbells,10.00,Static
2023-02-07,Squat - Back - Barbell,10/10 did not enjoy myself. Tired squats at a working weight of 50kg,50.00,Working
2023-02-07,Lateral Shoulder Press - Machine,Working weight 30kg,30.00,Working
2023-02-08,Bench Press - Flat - Dumbell,Stuck with 14s,14.00,Static
2023-02-08,Bench Press - Flat - Dumbell,"Starting with 14kg, very shoulder heavy for a non shoulder day",14.00,Static
2023-02-08,Lateral Pull Down - Machine,Working weight 90kg (tough),90.00,Working
2023-02-08,Bench Press - Lateral - Machine,40kg working weight,40.00,Working
2023-02-08,Bent-Over Rows - Barbell,45kg working weight,45.00,Working
2023-02-08,Bench Press - Incline - Dumbell,12kg DBs,12.00,Static
2023-02-08,Face Pull - Cable,Working weight 10kg,10.00,Working
2023-02-09,Crunches - Weighted - Cable,20kg,20.00,Static
2023-02-10,Lateral Shoulder Press - Machine,Working weight 40kg,40.00,Working
2023-02-10,Tricep Extension Pulldown - Cable,Max 24.5kg (tough),24.50,Static
2023-02-10,Hammer Hold - Dumbell,12.5kgs ,12.50,Static
2023-02-10,Arnold Press - Dumbell,10kg DBs,10.00,Static
2023-02-10,Bench Press - Narrow Grip - Barbell,45kg working weight,45.00,Working
2023-02-10,Curls - Hammer - Dumbell,10kg DBs,10.00,Static
2023-02-11,Bench Press - Flat - Barbell,Working weight 50kg,50.00,Working
2023-02-11,Lateral Pull Down - Cable,Good for a bicep workout,0.00,Static
2023-02-11,Lateral Pull Down - Cable,Working weight 13,13.00,Working
2023-02-11,Pectoral Flys - Cable,Working weight 42.5kg,42.50,Working
2023-02-11,Seated Pulley Row - V-Grip - Cable,(Wider v grip assuming makes it harder?),0.00,Static
2023-02-11,Seated Pulley Row - V-Grip - Cable,Working weight 14,14.00,Working
2023-02-11,Bench Press - Lateral - Machine,Working weight 40kg,40.00,Working
2023-02-11,Face Pull - Cable,Working weight 12.5kg,12.50,Working
2023-02-11,Crunches - Weighted - Cable,Working weight 22.5kg,22.50,Working
2023-02-13,Lateral Pull Down - Machine,"70x10, 80x8, 90x6, 90x6",90.00,Static
2023-02-13,Bent-Over Rows - Barbell,"Working weight 45kg, strong sets",45.00,Working
2023-02-13,Hammer Hold - Dumbell,12.5kg DB 30-35s sets,12.50,Static
2023-02-13,Tricep Kick-Backs - Dumbell,Aiming for sets of 8 with 8kg DBs,8.00,Static
2023-02-13,Tricep Extension Pulldown - Cable,Working weight of 24.5kg. Aiming for sets of 8,24.50,Working
2023-02-13,Curls - Hammer - Dumbell,10kg DB,10.00,Static
2023-02-13,Straight Arm Pushdown - Cable,"Love this, making a regular",0.00,Static
2023-02-13,Straight Arm Pushdown - Cable,"Working weight 21kg, tried 24.5kg but only 4 bad reps",24.50,Working
2023-02-13,Bench Press - Narrow Grip - Barbell,"45kg working weight, really feeling it through the slow release",45.00,Working
2023-02-13,Tricep Kick-Backs - Dumbell,Struggling with the form with my head in the curling bench but doable,0.00,Static
